id,season,city,date,team1,team2,toss_winner,toss_decision,result,dl_applied,winner,win_by_runs,win_by_wickets,player_of_match,venue,umpire1,umpire2,umpire3,batting_first_team,chasing_team,batting_first_won,chasing_won,toss_winner_won
487,2014,Ahmedabad,2014-08-05,Sunrisers Hyderabad,Rajasthan Royals,Rajasthan Royals,field,normal,0,Sunrisers Hyderabad,32,0,B Kumar,"Sardar Patel Stadium, Motera",AK Chaudhary,NJ Llong,,Rajasthan Royals,Sunrisers Hyderabad,0,1,0
488,2014,Bangalore,2014-09-05,Punjab Kings,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,0,Punjab Kings,32,0,Sandeep Sharma,M Chinnaswamy Stadium,S Ravi,K Srinath,,Royal Challengers Bangalore,Punjab Kings,0,1,0
489,2014,Delhi,2014-10-05,Delhi Capitals,Sunrisers Hyderabad,Sunrisers Hyderabad,field,normal,1,Sunrisers Hyderabad,0,8,DW Steyn,Feroz Shah Kotla,RM Deshpande,BNJ Oxenford,,Sunrisers Hyderabad,Delhi Capitals,1,0,1
490,2014,Mumbai,2014-10-05,Mumbai Indians,Chennai Super Kings,Chennai Super Kings,field,normal,0,Chennai Super Kings,0,4,DR Smith,Wankhede Stadium,HDPK Dharmasena,VA Kulkarni,,Chennai Super Kings,Mumbai Indians,1,0,1
491,2014,Cuttack,2014-11-05,Punjab Kings,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,0,Kolkata Knight Riders,0,9,G Gambhir,Barabati Stadium,NJ Llong,CK Nandan,,Kolkata Knight Riders,Punjab Kings,1,0,1
492,2014,Bangalore,2014-11-05,Royal Challengers Bangalore,Rajasthan Royals,Royal Challengers Bangalore,bat,normal,0,Rajasthan Royals,0,5,JP Faulkner,M Chinnaswamy Stadium,S Ravi,RJ Tucker,,Royal Challengers Bangalore,Rajasthan Royals,0,1,0
493,2014,Hyderabad,2014-12-05,Sunrisers Hyderabad,Mumbai Indians,Sunrisers Hyderabad,bat,normal,0,Mumbai Indians,0,7,AT Rayudu,"Rajiv Gandhi International Stadium, Uppal",HDPK Dharmasena,VA Kulkarni,,Sunrisers Hyderabad,Mumbai Indians,0,1,0
494,2014,Ranchi,,Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,bat,normal,0,Chennai Super Kings,0,5,RA Jadeja,JSCA International Stadium Complex,BNJ Oxenford,C Shamshuddin,,Rajasthan Royals,Chennai Super Kings,0,1,0
495,2014,Bangalore,,Royal Challengers Bangalore,Delhi Capitals,Delhi Capitals,field,normal,0,Royal Challengers Bangalore,16,0,Yuvraj Singh,M Chinnaswamy Stadium,K Srinath,RJ Tucker,,Delhi Capitals,Royal Challengers Bangalore,0,1,0
496,2014,Hyderabad,,Sunrisers Hyderabad,Punjab Kings,Punjab Kings,field,normal,0,Punjab Kings,0,6,WP Saha,"Rajiv Gandhi International Stadium, Uppal",VA Kulkarni,PG Pathak,,Punjab Kings,Sunrisers Hyderabad,1,0,1
497,2014,Cuttack,,Mumbai Indians,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,0,Kolkata Knight Riders,0,6,RV Uthappa,Barabati Stadium,AK Chaudhary,NJ Llong,,Kolkata Knight Riders,Mumbai Indians,1,0,1
498,2014,Ahmedabad,,Rajasthan Royals,Delhi Capitals,Delhi Capitals,field,normal,0,Rajasthan Royals,62,0,AM Rahane,"Sardar Patel Stadium, Motera",S Ravi,RJ Tucker,,Delhi Capitals,Rajasthan Royals,0,1,0
499,2014,Ranchi,,Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,bat,normal,0,Royal Challengers Bangalore,0,5,AB de Villiers,JSCA International Stadium Complex,BNJ Oxenford,C Shamshuddin,,Chennai Super Kings,Royal Challengers Bangalore,0,1,0
500,2014,Hyderabad,,Sunrisers Hyderabad,Kolkata Knight Riders,Sunrisers Hyderabad,bat,normal,0,Kolkata Knight Riders,0,7,UT Yadav,"Rajiv Gandhi International Stadium, Uppal",NJ Llong,CK Nandan,,Sunrisers Hyderabad,Kolkata Knight Riders,0,1,0
501,2014,Ahmedabad,,Mumbai Indians,Rajasthan Royals,Mumbai Indians,bat,normal,0,Mumbai Indians,25,0,MEK Hussey,"Sardar Patel Stadium, Motera",S Ravi,RJ Tucker,,Mumbai Indians,Rajasthan Royals,1,0,1
